area,type,total,price,name
甘井子区,高楼层(共6层)|2002年建|4室1厅|75.06平米|南北, 99.8万,"13,297元/平",秀水小区
甘井子区,高楼层(共6层)|1996年建|2室1厅|60.84平米|南北, 85万,"13,972元/平",七绣路
甘井子区,高楼层(共33层)|2018年建|1室1厅|75.6平米|南, 165万,"21,826元/平",远洋荣域B2区
甘井子区,低楼层(共7层)|1980年建|2室1厅|49.89平米|东, 75万,"15,034元/平",八十中四二七路
甘井子区,中楼层(共34层)|2020年建|3室1厅|111平米|南北, 235万,"21,172元/平",招商公园1872
甘井子区,中楼层(共7层)|1997年建|2室1厅|62.76平米|南北, 93万,"14,819元/平",红旗西路
甘井子区,低楼层(共8层)|1985年建|2室1厅|50.83平米|南东, 75.5万,"14,854元/平",椒房
甘井子区,高楼层(共6层)|2003年建|2室2厅|93.3平米|南北, 158万,"16,935元/平",千山心城
甘井子区,高楼层(共28层)|2010年建|2室1厅|80.38平米|南西北, 85万,"10,575元/平",福佳新城一期
甘井子区,中楼层(共7层)|2003年建|2室1厅|66.55平米|南北, 105万,"15,778元/平",泡崖美林园
甘井子区,高楼层(共7层)|1995年建|1室1厅|49.22平米|南, 60万,"12,191元/平",宏孚小区
甘井子区,高楼层(共19层)|2012年建|1室1厅|55.99平米|南, 103万,"18,397元/平",翡翠春城
甘井子区,低楼层(共28层)|2010年建|2室1厅|80.53平米|南, 89万,"11,052元/平",福佳新城一期
甘井子区,低楼层(共24层)|2010年建|2室1厅|75.52平米|东南南, 83万,"10,991元/平",福佳新城一期
甘井子区,中楼层(共6层)|2002年建|2室1厅|56.44平米|南, 78万,"13,820元/平",泡崖四区
甘井子区,高楼层(共6层)|2009年建|2室1厅|57.18平米|东南北, 91.8万,"16,055元/平",新星绿城五期
甘井子区,中楼层(共23层)|2019年建|2室2厅|103.12平米|南北, 200万,"19,395元/平",中华城·领第
甘井子区,高楼层(共18层)|2012年建|2室1厅|75.44平米|南, 132万,"17,498元/平",万科魅力之城
甘井子区,低楼层(共7层)|1995年建|2室1厅|59.34平米|南北, 185万,"31,177元/平",泡崖三区
甘井子区,中楼层(共27层)|2014年建|2室1厅|70.2平米|南, 150万,"21,368元/平",欧尚广场
甘井子区,中楼层(共7层)|1995年建|2室1厅|59.43平米|南北, 79.8万,"13,428元/平",泡崖三区
甘井子区,中楼层(共4层)|2009年建|3室2厅|91.09平米|南北, 165万,"18,114元/平",南岭新城三期
甘井子区,低楼层(共33层)|2009年建|2室1厅|95.47平米|东南北, 123万,"12,884元/平",泉水N1区
甘井子区,低楼层(共18层)|2010年建|2室1厅|75.11平米|西南, 112万,"14,912元/平",锦联樱花园
甘井子区,高楼层(共25层)|2009年建|3室2厅|113.86平米|南北, 163万,"14,316元/平",泉水人家幸福里
甘井子区,中楼层(共11层)|2020年建|3室2厅|110.29平米|南北, 265万,"24,028元/平",华润二十四城
甘井子区,高楼层(共11层)|2007年建|2室1厅|76.02平米|东南北, 114万,"14,997元/平",泡崖康顺园
甘井子区,高楼层(共20层)|2012年建|2室1厅|69.95平米|南北, 155万,"22,159元/平",沿海鉴筑二期
甘井子区,低楼层(共33层)|2017年建|2室1厅|72.79平米|南, 205万,"28,164元/平",大连港天下粮仓
甘井子区,低楼层(共22层)|2009年建|2室1厅|65.8平米|西南, 133万,"20,213元/平",泰华府邸
甘井子区,中楼层(共30层)|2016年建|3室1厅|87.01平米|东南北, 206万,"23,676元/平",远洋荣域A4区
甘井子区,低楼层(共31层)|2016年建|3室2厅|130.84平米|南北, 310万,"23,694元/平",远洋荣域B1区
甘井子区,中楼层(共28层)|2013年建|2室1厅|69.25平米|南, 88万,"12,708元/平",宇圣明珠
甘井子区,高楼层(共30层)|2004年建|1室1厅|62.49平米|南, 77.9万,"12,466元/平",泉水N3区
甘井子区,高楼层(共18层)|2018年建|1室1厅|55.51平米|南北, 82.8万,"14,917元/平",中海凤凰熙岸
甘井子区,高楼层(共9层)|2014年建|2室1厅|89.99平米|南, 288万,"32,004元/平",远洋钻石湾一期
甘井子区,中楼层(共7层)|1995年建|2室1厅|63.8平米|南北, 99万,"15,518元/平",宏孚小区
甘井子区,中楼层(共9层)|2005年建|3室2厅|111.64平米|南北, 323万,"28,933元/平",林语家话
甘井子区,高楼层(共6层)|2017年建|2室1厅|88.04平米|南北, 169万,"19,196元/平",亿达春田里
甘井子区,低楼层(共25层)|2010年建|2室1厅|83.38平米|南北, 146.5万,"17,571元/平",耕海山尚
甘井子区,中楼层(共7层)|1993年建|2室1厅|47.55平米|西, 58万,"12,198元/平",泡崖一区
甘井子区,中楼层(共24层)|2011年建|3室1厅|136.25平米|南北, 310万,"22,753元/平",远洋广场
甘井子区,中楼层(共17层)|2021年建|1室1厅|60平米|东, 112万,"18,667元/平",亿达春田耶鲁时区
